Timestamp,Используете ли вы Auto Mode или аналогичный режим автономной работы любого другого AI-агента? ,"Спасибо за участие. 

Почему вы не используете Auto Mode?  ",Какие AI-агенты вы используете?  ,Как часто вы используете автономный режим?  ,Что вам больше всего НЕ нравится в текущем Auto Mode или аналогичных режимах?  ,"В каких ситуациях вы чаще всего хотите, чтобы агент работал полностью самостоятельно?  ",Какие действия вы считаете обязательными для подтверждения человеком?  ,"Если бы существовал более умный Auto Mode, что было бы для вас самым ценным улучшением?  ","Опишите самый неприятный случай использования AI-агента, который вы помните.  "
9/3/2026 11:38:02,"❌ Нет, не использую",Не дошли руки до реализации,,,,,,,
9/3/2026 11:47:04,"✅ Да, использую регулярно",,"Claude Code, Cursor Agent, OpenAI Codex",Несколько раз в день,"Иногда разрешает опасные действия, Не хватает контроля над тем, что именно разрешено, Сложно понять последствия действия агента","Создание и изменение файлов, Установка зависимостей, Запуск тестов, Рефакторинг кода, Поиск информации в интернете, Работа с Git, Работа с базами данных","Удаление файлов, Изменение production-кода, Отправка данных наружу, Работа с секретами (.env, токены, ключи), Изменение инфраструктуры (AWS, Kubernetes и т.п.)",Агент почти никогда не спрашивает меня о безопасных действиях,"Когда он вписал в код обучения модели логирование, и это привело к неэффективным cpu-gpu синхронизациям и сильной просадке утилизации gpu"
9/3/2026 11:49:11,"❌ Нет, не использую",Не знаю о такой возможности,,,,,,,
9/3/2026 11:56:24,🟡 Использовал несколько раз,,Claude Code,Несколько раз в неделю,"Слишком часто просит подтверждение, Сложно понять последствия действия агента, Боюсь утечки секретов / данных","Создание и изменение файлов, Установка зависимостей, Поиск информации в интернете, Работа с Git","Удаление файлов, Изменение production-кода, Выполнение команд с sudo/admin правами",Агент сам находит безопасный альтернативный путь после блокировки,Пытался в Google Chrome выгузить данные и создать гугл таблицу. Сожрал все токены и ничего не сделал
9/3/2026 11:57:05,"❌ Нет, не использую",Не знаю о такой возможности,,,,,,,
9/3/2026 11:59:01,🟡 Использовал несколько раз,,"Claude Code, GitHub Copilot Agent, OpenAI Codex",Несколько раз в неделю,"Слишком часто просит подтверждение, Иногда блокирует безопасные действия, Не хватает контроля над тем, что именно разрешено","Создание и изменение файлов, Запуск тестов, Рефакторинг кода, Поиск информации в интернете, Работа с Git","Работа с секретами (.env, токены, ключи), Выполнение команд с sudo/admin правами",Агент сам находит безопасный альтернативный путь после блокировки,
9/3/2026 12:05:02,"✅ Да, использую регулярно",,Claude Code,Несколько раз в день,"Слишком часто просит подтверждение, Иногда блокирует безопасные действия, Непонятно, почему действие было разрешено или заблокировано","Создание и изменение файлов, Установка зависимостей, Запуск тестов, Рефакторинг кода, Поиск информации в интернете, Работа с Git","Изменение production-кода, Работа с секретами (.env, токены, ключи), Выполнение команд с sudo/admin правами, Изменение инфраструктуры (AWS, Kubernetes и т.п.)",Агент показывает понятный журнал всех своих действий,
9/3/2026 12:13:23,"❌ Нет, не использую",Не доверяю AI-агенту выполнять действия самостоятельно,,,,,,,
9/3/2026 12:18:14,"✅ Да, использую регулярно",,Claude Code,Реже,"Иногда разрешает опасные действия, Непонятно, почему действие было разрешено или заблокировано, Сложно понять последствия действия агента, Боюсь вредоносных зависимостей или MCP-инструментов","Установка зависимостей, Поиск информации в интернете","Удаление файлов, Изменение production-кода, Отправка данных наружу, Работа с секретами (.env, токены, ключи), Выполнение команд с sudo/admin правами, Изменение инфраструктуры (AWS, Kubernetes и т.п.)",Агент сам находит безопасный альтернативный путь после блокировки,"любое взаимодействие с бд напрягает, удалил таблицу"
9/3/2026 12:19:38,"❌ Нет, не использую",Не вижу необходимости,,,,,,,
